Cycle,Memory
5000,1966240
10000,2113704
15000,2114376
20000,2015800
25000,2085656
30000,2086808
35000,2519032
40000,2519032
45000,2547704
50000,2547704
55000,2547704
60000,2547864
65000,3522464
70000,3530816
75000,3530896
80000,3530896
85000,3530896
90000,3547280
95000,3547280
100000,3547280
